CUSTOMER,BARAKA RUNYENJES CHEMIST,,,,,,,,
ADDRESS,RUNYENJES,,,,,,,,
TOWN,RUNYEJES,,,,,,,,
DATE,9/3/2026 10:22,,,,,,,,
INVOICE NO,CIV70080941,,,,,,,,
REFERENCE,,,,,,,,,
PAGE,1 of 2,,,,,,,,
,,,,,,,,,
DESCRIPTION,BATCH NO.,QTY OUT,EXP DATE,QTY,PW,PRICE,DISC,VAT,TOTAL
ACYCLOVIR 400MG TABS 30'S(CYCLOVIR),251427,30,30/11/2028,1,W,420,0,0,420
ACYCLOVIR CREAM(ACICLOBEL),1080623,1,30/06/2026 / 31/12/2027,2,W,40,0,0,80
AMOXYCILLIN 500MG 100'S(BLISTER),POXICE002,100,31/08/2028,1,W,260,0,0,260
AMPICLOX 500MG 100'S BLISTER,05925P003,100,31/10/2028,1,W,390,0,0,390
BETASON S OINT 15G,4130429,3,31/03/2027,3,W,95,0,0,285
BRUSTAN TABS 10S(IBUPARA),DFG5642A,20,31/07/2028,2,W,95,0,0,190
CARDITAN 50MG 28'S(LOSARTAN 50),250199,56,30/11/2028,2,W,220,0,0,440
CARDITAN H 28'S(LOSARTAN H),260530,28,31/12/2028,1,W,255,0,0,255
CEFTRIAXONE 1GM WITH WATER,U5064,20,29/02/2028,20,W,30,0,0,600
CIPROFLOXACIN 500MG TAB 100'S,250325A,100,31/05/2028,1,W,230,0,0,230
COTRIMOXAZOLE 480MG 100'S,5B77,100,31/01/2029,1,W,135,0,0,135
CPM 60ML(DAWA CPM),2601054,10,31/12/2026,10,W,22,0,0,220
DEXAMETHASONE 4MG TABS 100'S(DEXA),BPL985A,100,30/11/2027,1,W,375,0,0,375
DICLOFENAC GEL(DOLOR),50223,3,30/06/2028,3,W,15,0,0,45
DICLOFENAC GEL(RUFENAC),5131045,2,31/10/2028,2,W,20,0,0,40
FANLAR 25x3s,2511082,25,31/10/2030,1,W,700,0,0,700
FRUSEMIDE 40MG 100'S(COSMOS),251122,100,31/08/2028,1,W,170,0,0,170
GLUCOMET 500MG 56'S,250660,112,30/09/2028,2,W,225,0,0,450
IRON SUCROSE 100MG/5ML INJ,KA25103A,2,31/07/2027,2,W,85,0,0,170
LOPERAMIDE 2MG 6S,C25L030,5,31/10/2028,5,W,7.5,0,0,37.5
MONTELUKAST 10MG 30'S(MONAS),T3245002,30,31/01/2028,1,W,350,0,0,350
NEUROBIONE FORTE MERCK 900'S,84301,60,31/05/2027,60,P,3.2,0,0,192
NEUROFORTE 20S,NBT2512,40,31/07/2028,2,W,260,0,0,520
